1991,1992,1993,1994
0.086801094,0.033932437,-0.034843907,-0.065031549
0.56071511,0.507202412,0.418133603,0.39782924
-0.475244302,-0.49174663,-0.555689128,-0.59355771
-0.510164282,-0.542567567,-0.606195331,-0.654418298
0.504177999,3.554870476,2.713009213,2.017041206
0.722012162,0.713662469,0.755893837,0.753383203
-0.899272632,-0.918960131,-0.981835218,-1.030792989
-0.305632969,-0.201114397,0.320277834,0.562793466
-0.94416975,-0.925312748,-0.437315214,-0.263629258
0.382789497,0.492909024,0.441808386,0.236068203
-0.641529922,-0.641033132,-0.603038694,-0.753717153
-1.060569684,-0.925312748,-0.563580722,-0.311677091
-0.959135455,-0.968192914,-1.027606465,-1.070832849
-0.047890259,-0.147117151,0.001457426,0.224857042
-0.962461168,-0.971369223,-1.051281247,-1.102864738
-0.781209842,-0.796672252,-0.866617942,-0.907470218
-0.844398378,-0.841140572,-0.901340957,-0.939502106
0.635543639,1.21869553,1.314618711,0.729359287
-1.042278265,-1.044424319,-1.114414002,-1.142904598
0.813469252,1.14087597,0.733797373,0.894323513
1.708085887,1.695141814,1.775487815,1.996220479
-1.11045537,-0.718852692,0.067746818,0.729359287
0.402743771,0.327740979,0.269771631,0.457088234
-0.718021307,-0.693442224,-0.787701999,-0.827390496
-0.16096448,-0.191585471,-0.322097938,-0.332497818
2.559468261,2.4320454,2.599370256,2.359782414
-0.428684328,-0.439337539,-0.513074519,-0.515079583
-0.975764017,-0.980898148,-1.051281247,-1.091653577
1.087840525,1.377510958,1.68710196,2.074698606
-0.275701558,-0.307520733,-0.371025823,-0.404569568
0.505840856,0.567552275,0.522302647,0.344976624
0.327915242,0.397619767,0.54597743,0.500331284
-0.914238338,-0.764909166,-0.686689593,-0.699262942
-0.219164447,-0.19476178,-0.109024893,-0.108274599
-0.34055295,-0.520333407,-0.565159041,-0.380545651
-0.816129822,-0.834787954,-0.849256435,-0.856219196
-0.111078794,-0.147117151,-0.350507677,-0.521485961
0.036915408,-0.002595112,-0.042735501,-0.069836332
-0.723009875,-0.744263161,-0.809798463,-0.853016007
2.12712565,1.973068813,1.893861729,1.896921624
0.472583732,0.288037122,-0.042735501,0.000633822
-0.360507224,-0.418691533,-0.486243099,-0.519884366
0.663812195,0.569140429,0.492314589,0.460291423
-0.317272963,-0.587035887,-0.650388259,-0.672035837
1.458657458,1.401333272,1.349341725,1.206634426
0.103429656,0.068871831,0.033023803,-0.016983716
-0.711369882,-0.879256274,-0.847678116,-0.888251085
-0.832758384,-0.798260406,-0.591990462,-0.631995976
-0.325587244,-0.207467014,-0.061675328,0.077510355
3.671919058,3.426229979,3.333288521,3.327145448
0.302972399,0.222922796,0.418133603,-0.03299966
-0.154313055,-0.226524865,-0.284218286,-0.302067524
2.215257028,2.660739616,2.866106141,3.122141361
-0.811141254,-0.836376109,-0.861882985,-0.854617602
-0.318935819,-0.339283819,-0.383652373,-0.367732896
-0.802826973,-0.825259029,-0.849256435,-0.846609629
-0.380461498,-0.353577208,-0.301579793,-0.074641116
-0.061193108,-0.020064809,0.094578239,0.228060231
-0.483558583,-0.49174663,-0.554110809,-0.609573654
0.349532373,0.205453099,0.44969998,0.429861129
0.161629623,0.200688636,0.411820328,0.562793466
-0.325587244,-0.331343048,-0.369447504,-0.375740868
1.438703183,1.599852557,2.223730369,2.556778528
-0.96578688,-0.626739744,-0.241603677,-0.109876193
-0.698067032,-0.718852692,-0.792436956,-0.824187307
0.203201027,0.254685882,0.433916792,0.521152011
-0.448638602,-0.49174663,-0.560424085,-0.577541766
-0.129370212,0.631078446,1.283052334,1.310738064
-0.535107125,-0.594976658,-0.64880994,-0.696059753
