1991,1992,1993,1994
0.086801094,0.033932437,-0.034843907,-0.089797234
0.56071511,0.507202412,0.418133603,0.372511686
-0.475244302,-0.49174663,-0.555689128,-0.617693234
-0.510164282,-0.542567567,-0.606195331,-0.678481258
0.504177999,3.554870476,2.713009213,1.989793066
0.722012162,0.713662469,0.755893837,0.727641722
-0.899272632,-0.918960131,-0.981835218,-1.054407197
-0.305632969,-0.201114397,0.320277834,0.537279225
-0.94416975,-0.925312748,-0.437315214,-0.288158155
0.382789497,0.492909024,0.441808386,0.210943517
-0.641529922,-0.641033132,-0.603038694,-0.777661718
-1.060569684,-0.925312748,-0.563580722,-0.336148701
-0.959135455,-0.968192914,-1.027606465,-1.094399318
-0.047890259,-0.147117151,0.001457426,0.199745723
-0.962461168,-0.971369223,-1.051281247,-1.126393015
-0.781209842,-0.796672252,-0.866617942,-0.931231464
-0.844398378,-0.841140572,-0.901340957,-0.96322516
0.635543639,1.21869553,1.314618711,0.703646449
-1.042278265,-1.044424319,-1.114414002,-1.166385136
0.813469252,1.14087597,0.733797373,0.868413988
1.708085887,1.695141814,1.775487815,1.968997163
-1.11045537,-0.718852692,0.067746818,0.703646449
0.402743771,0.327740979,0.269771631,0.431700025
-0.718021307,-0.693442224,-0.787701999,-0.851247221
-0.16096448,-0.191585471,-0.322097938,-0.356944604
2.559468261,2.4320454,2.599370256,2.332125623
-0.428684328,-0.439337539,-0.513074519,-0.539308676
-0.975764017,-0.980898148,-1.051281247,-1.115195221
1.087840525,1.377510958,1.68710196,2.04738172
-0.275701558,-0.307520733,-0.371025823,-0.428930422
0.505840856,0.567552275,0.522302647,0.319722086
0.327915242,0.397619767,0.54597743,0.474891516
-0.914238338,-0.764909166,-0.686689593,-0.723272434
-0.219164447,-0.19476178,-0.109024893,-0.132988725
-0.34055295,-0.520333407,-0.565159041,-0.404935149
-0.816129822,-0.834787954,-0.849256435,-0.880041548
-0.111078794,-0.147117151,-0.350507677,-0.545707416
0.036915408,-0.002595112,-0.042735501,-0.094596289
-0.723009875,-0.744263161,-0.809798463,-0.876842179
2.12712565,1.973068813,1.893861729,1.869816702
0.472583732,0.288037122,-0.042735501,-0.024210156
-0.360507224,-0.418691533,-0.486243099,-0.544107731
0.663812195,0.569140429,0.492314589,0.434899395
-0.317272963,-0.587035887,-0.650388259,-0.696077791
1.458657458,1.401333272,1.349341725,1.180352533
0.103429656,0.068871831,0.033023803,-0.041806689
-0.711369882,-0.879256274,-0.847678116,-0.912035245
-0.832758384,-0.798260406,-0.591990462,-0.65608567
-0.325587244,-0.207467014,-0.061675328,0.052574717
3.671919058,3.426229979,3.333288521,3.29833527
0.302972399,0.222922796,0.418133603,-0.057803538
-0.154313055,-0.226524865,-0.284218286,-0.326550592
2.215257028,2.660739616,2.866106141,3.093575609
-0.811141254,-0.836376109,-0.861882985,-0.878441864
-0.318935819,-0.339283819,-0.383652373,-0.39213767
-0.802826973,-0.825259029,-0.849256435,-0.870443439
-0.380461498,-0.353577208,-0.301579793,-0.099395344
-0.061193108,-0.020064809,0.094578239,0.202945092
-0.483558583,-0.49174663,-0.554110809,-0.633690082
0.349532373,0.205453099,0.44969998,0.404505383
0.161629623,0.200688636,0.411820328,0.537279225
-0.325587244,-0.331343048,-0.369447504,-0.400136095
1.438703183,1.599852557,2.223730369,2.528886859
-0.96578688,-0.626739744,-0.241603677,-0.13458841
-0.698067032,-0.718852692,-0.792436956,-0.848047852
0.203201027,0.254685882,0.433916792,0.495687419
-0.448638602,-0.49174663,-0.560424085,-0.601696385
-0.129370212,0.631078446,1.283052334,1.284332048
-0.535107125,-0.594976658,-0.64880994,-0.720073064
0.307960968,0.410325001,0.512832734,0.670053068
1.74633158,1.62685118,1.532426712,1.490691394
0.211515308,0.342034367,0.359735806,0.199745723
-0.761255568,-0.353577208,-0.421532026,-0.000214883
-0.629889928,-0.464748007,-0.442050171,-0.406534834
-0.470255733,-0.50286371,-0.571472317,-0.628891028
0.258075282,0.195924173,0.130879572,0.087767783
-0.180918754,-0.210643322,-0.271591735,-0.326550592
0.141675348,0.102223071,0.047228673,0.004584171
